dataset,metric,value
CRW,input_transcripts,113.0
CRW,manifest_rows,113.0
CRW,long_rows,31508500.0
CRW,wide_rows,314520.0
CRW,warnings,0.0
CRW,failures,0.0
CRW,missing_output,0.0
CRW,missing_rate::rnaup_open4_S,0.0
CRW,missing_rate::rnaup_open6_S,0.0
CRW,missing_rate::rnaup_open4_rank_in_transcript,0.0
CRW,missing_rate::rnaup_open6_rank_in_transcript,0.0
CRW,missing_rate::rnaup_open4_local_z,0.0
CRW,missing_rate::rnaup_open6_local_z,0.0
CRW,input_vs_manifest_consistent,1.0
CRW,clean_run,1.0
bpRNA-new,input_transcripts,5388.0
bpRNA-new,manifest_rows,5388.0
bpRNA-new,long_rows,59225400.0
bpRNA-new,wide_rows,565314.0
bpRNA-new,warnings,0.0
bpRNA-new,failures,0.0
bpRNA-new,missing_output,0.0
bpRNA-new,missing_rate::rnaup_open4_S,0.0
bpRNA-new,missing_rate::rnaup_open6_S,0.0
bpRNA-new,missing_rate::rnaup_open4_rank_in_transcript,0.0
bpRNA-new,missing_rate::rnaup_open6_rank_in_transcript,0.0
bpRNA-new,missing_rate::rnaup_open4_local_z,0.0
bpRNA-new,missing_rate::rnaup_open6_local_z,0.0
bpRNA-new,input_vs_manifest_consistent,1.0
bpRNA-new,clean_run,1.0
