dataset,sequence_id,group_id,sequence_length,command,run_command_hash,RNAup_version,date_time_utc,exit_status,warning_present,warning_notes,output_file_path,output_detection_note,stdout_path,stderr_path,log_path,stdin_fa_path,command_txt_path,parsed_raw_table_path,file_listing_path,runtime_sec,sequence_sha256,pfScale_used,output_file_sha256
CRW,a.23.b.B.japonicum.2,a.23.b.B.japonicum.2,2874,/opt/anaconda3/envs/rna6nt/bin/RNAup -u 1-20 -c SHIME -T 37.0 --salt 1.021 -d2 --pfScale 1.0 --log-file=RNAup.log --log-time,e13f3fb951727087490d92f5e639fa0da481b4734cc9cbf90e57007fccdf2ef6,RNAup 2.7.2,2026-04-04T13:02:18.950722+00:00,0,False,[],/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/a.23.b.B.japonicum.2__1c4429d70a/a.23.b.B.japonicum.2__1c4429d70a_u1.out,,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/a.23.b.B.japonicum.2__1c4429d70a/stdout.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/a.23.b.B.japonicum.2__1c4429d70a/stderr.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/a.23.b.B.japonicum.2__1c4429d70a/RNAup.log,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/a.23.b.B.japonicum.2__1c4429d70a/stdin.fa,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/a.23.b.B.japonicum.2__1c4429d70a/command.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/a.23.b.B.japonicum.2__1c4429d70a/parsed_raw_table.csv.gz,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/a.23.b.B.japonicum.2__1c4429d70a/file_listing.json,47.82871103286743,cce2531a9f3163a0956eea612c25e5e0f6d286c995834300e0cef9da0ae0836c,1.0,7b53686a67bedae035d1b1d5b942b3d2525f0857c66202403ce251509c1dc017
CRW,b.23.a.D.mobilis,b.23.a.D.mobilis,3699,/opt/anaconda3/envs/rna6nt/bin/RNAup -u 1-20 -c SHIME -T 37.0 --salt 1.021 -d2 --pfScale 1.0 --log-file=RNAup.log --log-time,e13f3fb951727087490d92f5e639fa0da481b4734cc9cbf90e57007fccdf2ef6,RNAup 2.7.2,2026-04-04T13:03:55.122253+00:00,0,False,[],/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.D.mobilis__95b8fdffc2/b.23.a.D.mobilis__95b8fdffc2_u1.out,,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.D.mobilis__95b8fdffc2/stdout.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.D.mobilis__95b8fdffc2/stderr.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.D.mobilis__95b8fdffc2/RNAup.log,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.D.mobilis__95b8fdffc2/stdin.fa,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.D.mobilis__95b8fdffc2/command.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.D.mobilis__95b8fdffc2/parsed_raw_table.csv.gz,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.D.mobilis__95b8fdffc2/file_listing.json,95.65026211738586,dc4a26c2543753fff5d1f2fe6b892546c4f378787d45f1ebc94fa230162f19ce,1.0,7873b4a269983e65bdbaafc665b9500fc59a5557fdd754e40550ff6cec4d30ba
CRW,b.23.a.H.halobium,b.23.a.H.halobium,2905,/opt/anaconda3/envs/rna6nt/bin/RNAup -u 1-20 -c SHIME -T 37.0 --salt 1.021 -d2 --pfScale 1.0 --log-file=RNAup.log --log-time,e13f3fb951727087490d92f5e639fa0da481b4734cc9cbf90e57007fccdf2ef6,RNAup 2.7.2,2026-04-04T13:04:43.513036+00:00,0,False,[],/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.H.halobium__3b6d518ffb/b.23.a.H.halobium__3b6d518ffb_u1.out,,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.H.halobium__3b6d518ffb/stdout.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.H.halobium__3b6d518ffb/stderr.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.H.halobium__3b6d518ffb/RNAup.log,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.H.halobium__3b6d518ffb/stdin.fa,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.H.halobium__3b6d518ffb/command.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.H.halobium__3b6d518ffb/parsed_raw_table.csv.gz,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.H.halobium__3b6d518ffb/file_listing.json,47.75184679031372,272f580c99c1abab2dfa8eb8512f7ac467d7063b318166b727e051d498c8cd36,1.0,e5f8dc3d17946f85415fc76135ade5d17e495d3d7d965a190a63388d4502339d
CRW,b.23.a.H.morrhuae,b.23.a.H.morrhuae,2927,/opt/anaconda3/envs/rna6nt/bin/RNAup -u 1-20 -c SHIME -T 37.0 --salt 1.021 -d2 --pfScale 1.0 --log-file=RNAup.log --log-time,e13f3fb951727087490d92f5e639fa0da481b4734cc9cbf90e57007fccdf2ef6,RNAup 2.7.2,2026-04-04T13:05:33.020612+00:00,0,False,[],/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.H.morrhuae__02ffccd288/b.23.a.H.morrhuae__02ffccd288_u1.out,,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.H.morrhuae__02ffccd288/stdout.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.H.morrhuae__02ffccd288/stderr.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.H.morrhuae__02ffccd288/RNAup.log,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.H.morrhuae__02ffccd288/stdin.fa,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.H.morrhuae__02ffccd288/command.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.H.morrhuae__02ffccd288/parsed_raw_table.csv.gz,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.H.morrhuae__02ffccd288/file_listing.json,49.01077198982239,eed0d25552f3714cc58fb84ab1e8ba735bfb9d42092717e91ac39fb52c28f43c,1.0,1b8b2d6aa44d4941e861f3a230f989fca8a17454e1f4ef077cb41047cfc7f551
CRW,b.23.a.M.thermoautotrophicus,b.23.a.M.thermoautotrophicus,3019,/opt/anaconda3/envs/rna6nt/bin/RNAup -u 1-20 -c SHIME -T 37.0 --salt 1.021 -d2 --pfScale 1.0 --log-file=RNAup.log --log-time,e13f3fb951727087490d92f5e639fa0da481b4734cc9cbf90e57007fccdf2ef6,RNAup 2.7.2,2026-04-04T13:06:30.830014+00:00,0,False,[],/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.M.thermoautotrophicus__2056cacb98/b.23.a.M.thermoautotrophicus__2056cacb98_u1.out,,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.M.thermoautotrophicus__2056cacb98/stdout.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.M.thermoautotrophicus__2056cacb98/stderr.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.M.thermoautotrophicus__2056cacb98/RNAup.log,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.M.thermoautotrophicus__2056cacb98/stdin.fa,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.M.thermoautotrophicus__2056cacb98/command.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.M.thermoautotrophicus__2056cacb98/parsed_raw_table.csv.gz,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.M.thermoautotrophicus__2056cacb98/file_listing.json,57.305866956710815,28cfbecfe25e6be9aae9d300bdeac9a88972dd61e623039341922027385e4955,1.0,d57663a936da0939ecff76b92a26e8116cbeba9102eb967f026b76acbddf2877
CRW,b.23.a.M.vannielii,b.23.a.M.vannielii,2958,/opt/anaconda3/envs/rna6nt/bin/RNAup -u 1-20 -c SHIME -T 37.0 --salt 1.021 -d2 --pfScale 1.0 --log-file=RNAup.log --log-time,e13f3fb951727087490d92f5e639fa0da481b4734cc9cbf90e57007fccdf2ef6,RNAup 2.7.2,2026-04-04T13:07:22.505757+00:00,0,False,[],/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.M.vannielii__1668ac25e6/b.23.a.M.vannielii__1668ac25e6_u1.out,,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.M.vannielii__1668ac25e6/stdout.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.M.vannielii__1668ac25e6/stderr.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.M.vannielii__1668ac25e6/RNAup.log,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.M.vannielii__1668ac25e6/stdin.fa,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.M.vannielii__1668ac25e6/command.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.M.vannielii__1668ac25e6/parsed_raw_table.csv.gz,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.M.vannielii__1668ac25e6/file_listing.json,51.1187629699707,6dfeb8236e81cb7fc0b23747755a0a9a7e6067d60003600694ad883bf5cab69d,1.0,5168dac24f5ca04afa8689df18c0a82e1dd0aafedb32afedaf5d590dce6d9c8e
CRW,b.23.a.S.acidocaldarius,b.23.a.S.acidocaldarius,3044,/opt/anaconda3/envs/rna6nt/bin/RNAup -u 1-20 -c SHIME -T 37.0 --salt 1.021 -d2 --pfScale 1.0 --log-file=RNAup.log --log-time,e13f3fb951727087490d92f5e639fa0da481b4734cc9cbf90e57007fccdf2ef6,RNAup 2.7.2,2026-04-04T13:08:17.834962+00:00,0,False,[],/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.S.acidocaldarius__ccdf1b50d9/b.23.a.S.acidocaldarius__ccdf1b50d9_u1.out,,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.S.acidocaldarius__ccdf1b50d9/stdout.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.S.acidocaldarius__ccdf1b50d9/stderr.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.S.acidocaldarius__ccdf1b50d9/RNAup.log,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.S.acidocaldarius__ccdf1b50d9/stdin.fa,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.S.acidocaldarius__ccdf1b50d9/command.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.S.acidocaldarius__ccdf1b50d9/parsed_raw_table.csv.gz,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.S.acidocaldarius__ccdf1b50d9/file_listing.json,54.823458671569824,ac8412ec22dbdc1c2c2a54df1349751b2ca2183da5e2b06f036cbfdbf0125685,1.0,62ee819d2dd5bce7b8f7a51b936efebeaec63cf89e0083e880e7276f90968de5
CRW,b.23.a.T.acidophilum,b.23.a.T.acidophilum,2908,/opt/anaconda3/envs/rna6nt/bin/RNAup -u 1-20 -c SHIME -T 37.0 --salt 1.021 -d2 --pfScale 1.0 --log-file=RNAup.log --log-time,e13f3fb951727087490d92f5e639fa0da481b4734cc9cbf90e57007fccdf2ef6,RNAup 2.7.2,2026-04-04T13:09:07.013964+00:00,0,False,[],/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.T.acidophilum__08cf1e239f/b.23.a.T.acidophilum__08cf1e239f_u1.out,,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.T.acidophilum__08cf1e239f/stdout.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.T.acidophilum__08cf1e239f/stderr.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.T.acidophilum__08cf1e239f/RNAup.log,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.T.acidophilum__08cf1e239f/stdin.fa,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.T.acidophilum__08cf1e239f/command.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.T.acidophilum__08cf1e239f/parsed_raw_table.csv.gz,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.T.acidophilum__08cf1e239f/file_listing.json,48.626792907714844,b20dfe7fff2febfffdf9f44a3c7305a25f09de3fe8f8e0c5025db04edf1690fe,1.0,043e2d12e2c9462716615fefeb202d3928bc8faf62997dec71cf39ab5b020646
CRW,b.23.a.T.pendens,b.23.a.T.pendens,3069,/opt/anaconda3/envs/rna6nt/bin/RNAup -u 1-20 -c SHIME -T 37.0 --salt 1.021 -d2 --pfScale 1.0 --log-file=RNAup.log --log-time,e13f3fb951727087490d92f5e639fa0da481b4734cc9cbf90e57007fccdf2ef6,RNAup 2.7.2,2026-04-04T13:10:03.894580+00:00,0,False,[],/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.T.pendens__0b7e7ded5b/b.23.a.T.pendens__0b7e7ded5b_u1.out,,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.T.pendens__0b7e7ded5b/stdout.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.T.pendens__0b7e7ded5b/stderr.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.T.pendens__0b7e7ded5b/RNAup.log,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.T.pendens__0b7e7ded5b/stdin.fa,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.T.pendens__0b7e7ded5b/command.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.T.pendens__0b7e7ded5b/parsed_raw_table.csv.gz,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.T.pendens__0b7e7ded5b/file_listing.json,56.373056173324585,ca86479e44c98bea8f3926c9a6b61d2839a99740dca6f5b5a7c9b2702f087e45,1.0,2ec91fe2cb22412249cfce45e1a3f7a530dc3ae73398a6b312875bcff204fca6
CRW,b.23.a.T.tenax,b.23.a.T.tenax,3031,/opt/anaconda3/envs/rna6nt/bin/RNAup -u 1-20 -c SHIME -T 37.0 --salt 1.021 -d2 --pfScale 1.0 --log-file=RNAup.log --log-time,e13f3fb951727087490d92f5e639fa0da481b4734cc9cbf90e57007fccdf2ef6,RNAup 2.7.2,2026-04-04T13:10:58.624130+00:00,0,False,[],/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.T.tenax__54448b989f/b.23.a.T.tenax__54448b989f_u1.out,,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.T.tenax__54448b989f/stdout.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.T.tenax__54448b989f/stderr.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.T.tenax__54448b989f/RNAup.log,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.T.tenax__54448b989f/stdin.fa,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.T.tenax__54448b989f/command.txt,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.T.tenax__54448b989f/parsed_raw_table.csv.gz,/Users/hatanaka/rnaup-official-pf1p00/results/rnaup_official_pf1p00/CRW/rnaup_raw/CRW/b.23.a.T.tenax__54448b989f/file_listing.json,54.197221755981445,20221c0f3f18cb567a1beabd8ba799ad45a96f6512bb9bac137e09d94cc43c86,1.0,e28c7e3420ce6084c29742f95cc0f7fe296c01c7347452747587189945dab6dc
